SLRID,longitude,latitude,shape,scale,lambda,thresh,dataset
581,-78.83789,8.828126,-0.516209297824087,0.388371202205211,21.0277777777791,2.30207691695007,Kirezci
1008202820,-78.31055,8.203126,-0.505235956979014,0.352005159470664,20.9444444444429,2.02339903686215,Kirezci
1008402820,-77.37305,6.432292,-0.503327339925722,0.305665578121453,20.8611111111131,1.77776598191044,Kirezci
1008802820,-77.8418,2.838542,-0.504119104757121,0.313189378998843,19.2777777777778,1.72420702121175,Kirezci
1009402800,-80.00977,-3.203124,-0.506378065967942,0.262370491917997,20.7777777777773,1.2574704811825,Kirezci
1004402960,-64.36523,45.18229,-0.518932232873912,0.807777708261187,25.5555555555551,5.42458619264898,Kirezci
96,-64.07227,45.23438,-0.510778548213403,0.798585545446437,25.6944444444455,5.4259627472692,Kirezci
1014202920,-68.37891,-52.26562,-0.610624049420325,0.817520980279606,17.2499999999999,4.35295003036328,Kirezci
1014202900,-69.19922,-51.58854,-0.724261187591746,1.06413523824716,16.5277777777806,4.93685044246584,Kirezci
1014002920,-68.84766,-50.33854,-0.53435839124511,0.904139421219112,18.5833333333331,4.92573493971333,Kirezci
1014002920,-68.37891,-50.13021,-0.507655140700489,0.882481330632381,19.3055555555539,4.88708135361996,Kirezci
726,-48.46617,-25.35533,-0.515570712385817,0.255111994742439,27.916666666668,0.978274112335248,Kirezci
1011403140,-46.14258,-23.93229,-0.502085819339564,0.142847026267773,28.8611111111132,0.702899689797158,Kirezci
1008203020,-58.50586,7.421876,-0.514616833594215,0.211792873642068,22.8333333333326,1.03207646528624,Kirezci
1008603080,-51.94336,4.609376,-0.5745784962482,0.260792598811879,23.9722222222189,1.25563411048448,Kirezci
580,-48.31055,-0.963541,-0.500440785102073,0.312053588120022,22.444444444445,1.85245985356503,Kirezci
1009003120,-47.60742,-0.5989576,-0.561754157299505,0.41907796052874,18.7777777777783,2.2687481214431,Kirezci
1009203140,-45.9668,-1.119791,-0.603853396307199,0.44391612974701,18.9999999999988,2.37324898761518,Kirezci
1009203160,-44.85352,-1.588541,-0.559339913631782,0.373145309755423,20.4166666666643,2.03732839621457,Kirezci
1009203160,-44.0918,-2.421874,-0.501129438617935,0.353693025714681,21.7499999999978,2.07511362406698,Kirezci
1009203180,-41.68945,-2.838541,-0.550341755174126,0.299857848829542,19.9444444444457,1.53647450263391,Kirezci
1006002460,-113.4961,29.53125,-0.59678280954143,0.463897313940863,25.6666666666674,1.83757897617213,Kirezci
1008202780,-81.76758,7.630209,-0.51101074144955,0.299003804570951,21.2222222222222,1.69040130589113,Kirezci
1008802820,-78.19336,2.630209,-0.504695027900185,0.30679673404709,19.4166666666675,1.69972954864187,Kirezci
1009203140,-45.61523,-1.119791,-0.62963662440949,0.469780652408287,19.4166666666665,2.46507851248438,Kirezci
1009203160,-44.67773,-1.588541,-0.573197631096805,0.382462515661437,20.1666666666681,2.04531287344286,Kirezci
1014402920,-68.26172,-53.04687,-0.555554102769106,0.756762204146272,18.0555555555564,4.21576969078216,Kirezci
1014402920,-68.37891,-53.30729,-0.515366138641508,0.702177792082828,19.499999999999,4.10703479129443,Kirezci
1014402920,-67.91016,-53.61979,-0.522671707296625,0.621713285196849,17.4444444444455,3.70768707612019,Kirezci
1007803440,-15.9082,11.64063,-0.51840258525125,0.343347428175308,23.1388888888887,1.90050996343534,Kirezci
1600,39.22852,-6.067708,-0.519460023242454,0.358480067507789,25.4166666666663,1.83234611973404,Kirezci
1600,39.22852,-6.119791,-0.533367738282083,0.364574974639728,25.1666666666679,1.83144071315758,Kirezci
1600,39.22852,-6.276041,-0.529988799259006,0.353551980589197,24.9722222222187,1.78183505082416,Kirezci
1600,39.16992,-5.963541,-0.533208807673516,0.351077228366221,25.0277777777743,1.77778988924595,Kirezci
1600,39.31641,-5.755207,-0.554703157902591,0.332909559874535,24.4722222222205,1.71797154525015,Kirezci
1600,39.4043,-6.015624,-0.540141063325179,0.324324062573918,24.5555555555586,1.72701898882472,Kirezci
1600,39.4043,-6.380208,-0.550689739609259,0.336822482252338,24.4722222222193,1.77082423298739,Kirezci
1009600400,39.63867,-5.338541,-0.538490343804638,0.326383178243183,24.8333333333343,1.73016422343757,Kirezci
1009400400,39.75586,-4.869791,-0.542022852242497,0.321508292666146,24.8611111111103,1.71826129193822,Kirezci
1009600400,39.81445,-5.338541,-0.536542535771915,0.319067400304397,24.7777777777783,1.68787822190322,Kirezci
2198,41.2207,-2.057291,-0.545361555029518,0.294653257427042,26.0833333333351,1.59095190420588,Kirezci
1009800400,39.87305,-7.682291,-0.555761912446654,0.33234388834069,24.0833333333353,1.71485056082447,Kirezci
1010600460,45.20508,-15.96354,-0.58906794730241,0.355182485676882,22.1944444444419,1.81277265725005,Kirezci
1010600460,46.14258,-15.70312,-0.522123256638128,0.327581989119703,22.9722222222246,1.74637129151783,Kirezci
1010400480,48.31055,-13.41146,-0.522466011204118,0.31999129579182,25.0000000000038,1.68716250770051,Kirezci
1007800920,92.90039,12.31771,-0.51838711750613,0.212515877327306,25.0000000000029,1.09947606242543,Kirezci
1008400960,96.18164,5.286459,-0.505799634070536,0.160626018648406,25.5000000000021,0.856157092633186,Kirezci
1007800980,98.05664,12.42188,-0.553512044673184,0.409688574698461,21.361111111113,1.94258894876122,Kirezci
1007800980,97.99805,12.26563,-0.521990377153338,0.374896571178722,21.5277777777751,1.86048605291841,Kirezci
1007800980,98.34961,12.65625,-0.568657153542481,0.471962330342912,22.3611111111096,2.26378515674122,Kirezci
1009401160,116.2793,-3.255208,-0.506214721570555,0.192730104302435,29.1388888888846,1.13480358306745,Kirezci
1877,118.1543,4.869792,-0.559006247799843,0.191900513499856,28.0000000000009,1.0211427133659,Kirezci
1008601180,117.5684,3.619792,-0.522406313180913,0.215609982080272,28.8055555555551,1.18697114076527,Kirezci
1009001180,117.5098,-0.3906243,-0.552931541143071,0.203265019458543,28.5000000000011,1.14344377398515,Kirezci
1009001180,118.5059,0.781251,-0.531835059696473,0.198727107545962,28.2777777777748,1.15266027094778,Kirezci
1008601180,117.5098,3.203126,-0.522200568671516,0.227567807559642,28.4444444444442,1.26214614919067,Kirezci
1008601180,117.7441,3.046876,-0.533415556679479,0.215231383835076,27.555555555556,1.22023087853649,Kirezci
1008801180,117.8613,2.578126,-0.518808197915354,0.205974336061067,27.8888888888854,1.19384438249777,Kirezci
1008801180,118.0957,2.317709,-0.568855719644217,0.216535290124972,27.8333333333351,1.18246927220299,Kirezci
1008801180,118.0957,2.109376,-0.584541829859396,0.230291377218969,27.5555555555538,1.23454704979678,Kirezci
1008801180,117.9785,1.953126,-0.57599370529912,0.230627197908122,27.5277777777751,1.23949723950198,Kirezci
1734,117.8027,4.088542,-0.504513167080925,0.207644962879695,28.9999999999991,1.20930195548059,Kirezci
1008601180,117.9199,4.036459,-0.51506681190578,0.207771384075791,28.1666666666679,1.20433884753319,Kirezci
1008601180,117.5684,3.463542,-0.5207305947414,0.216305756163122,28.9722222222181,1.19081821575107,Kirezci
1009401160,116.2793,-3.203124,-0.500394626386245,0.191386381018763,29.1388888888843,1.13095425197486,Kirezci
